D 00:05:52.0569578 GameState.DebugPrintPowerList() - Count=66
D 00:05:52.0599580 GameState.DebugPrintPower() - CREATE_GAME
D 00:05:52.0599580 GameState.DebugPrintPower() -     GameEntity EntityID=1
D 00:05:52.0619581 GameState.DebugPrintPower() -         tag=TURN value=1
D 00:05:52.0619581 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 00:05:52.0619581 GameState.DebugPrintPower() -         tag=ENTITY_ID value=1
D 00:05:52.0629581 GameState.DebugPrintPower() -         tag=NEXT_STEP value=BEGIN_MULLIGAN
D 00:05:52.0629581 GameState.DebugPrintPower() -         tag=CARDTYPE value=GAME
D 00:05:52.0629581 GameState.DebugPrintPower() -         tag=STATE value=RUNNING
D 00:05:52.0629581 GameState.DebugPrintPower() -     Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=15856412]
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=PLAYSTATE value=PLAYING
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=CURRENT_PLAYER value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=FIRST_PLAYER value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=4
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=PLAYER_ID value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=TEAM_ID value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=ENTITY_ID value=2
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=NUM_TURNS_LEFT value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=NUM_CARDS_DRAWN_THIS_TURN value=3
D 00:05:52.0639582 GameState.DebugPrintPower() -     Player EntityID=3 PlayerID=2 GameAccountId=[hi=144115188075855872 lo=0]
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=PLAYSTATE value=PLAYING
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=36
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=PLAYER_ID value=2
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=TEAM_ID value=2
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=CONTROLLER value=2
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=ENTITY_ID value=3
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=NUM_TURNS_LEFT value=1
D 00:05:52.0639582 GameState.DebugPrintPower() -         tag=NUM_CARDS_DRAWN_THIS_TURN value=4
D 00:05:52.0649582 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=4 CardID=HERO_09
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=HEALTH value=30
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=ZONE value=PLAY
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=ENTITY_ID value=4
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=FACTION value=NEUTRAL
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=CARDTYPE value=HERO
D 00:05:52.0649582 GameState.DebugPrintPower() -     tag=RARITY value=FREE
